"selection3_name","selection3_url","selection3_selection4","selection3_selection5","selection3_selection6","selection3_selection7","selection3_selection8","selection3_selection9","selection3_selection10"
"CAS063","http://www.rpiparts.com/PartPage.asp?equip=1&oem=28&model=548&rpinum=CAS063","42010306 / 01-90-2304 / 0103-602-001","ON/OFF SWITCH","ASPIRATORS & SUCTION PUMPS
GOMCO®
Rotary Pumps with 3/4"" Rotor and 1/6 hp motor","RPI Part #CAS063
OEM Part #42010306 / 01-90-2304 / 0103-602-001
ON/OFF SWITCH
SPDT
15A @ 125VAC; 10A @ 250VAC; 1/2HP @ 250VAC
Fits: Front panel of base
Model(s) This Part Fits: Diaphragm Pumps (300 Series), Dynac II, Rotary Pumps with 1"" Rotor and 1/4 or 1/6 hp motor, Rotary Pumps with 3/4"" Rotor and 1/6 hp motor, Rotary Pumps with 5/8"" Rotor and 1/20 hp motor
Catalog Page(s): 2-200, 3-505
Part Description Updated: 8/20/2014","SPDT
15A @ 125VAC; 10A @ 250VAC; 1/2HP @ 250VAC","http://www.rpiparts.com/pimages/CAS063.GIF",""
"GOA019","http://www.rpiparts.com/PartPage.asp?equip=1&oem=28&model=548&rpinum=GOA019","01-90-2000","TUBING KIT (DISPOSABLE)","ASPIRATORS & SUCTION PUMPS
GOMCO®
Rotary Pumps with 3/4"" Rotor and 1/6 hp motor","RPI Part #GOA019
Old RPI Part #GOK019
OEM Part #01-90-2000
TUBING KIT (DISPOSABLE)
Includes (1) each of 15"" and 6' long tubing
Model(s) This Part Fits: Diaphragm Pumps (300 Series), Rotary Pumps with 1"" Rotor and 1/4 or 1/6 hp motor, Rotary Pumps with 3/4"" Rotor and 1/6 hp motor, Rotary Pumps with 5/8"" Rotor and 1/20 hp motor, Thermotic Pumps - Model 6000/6002, Thermotic Pumps - Model 6010/6011, Thermotic Pumps - Model 6020, Thermotic Pumps - Model 6650
Catalog Page(s): 2-200
Part Description Updated: 5/15/2008","Includes (1) each of 15"" and 6' long tubing","http://www.rpiparts.com/pimages/GOA019.GIF",""
"GOC020","http://www.rpiparts.com/PartPage.asp?equip=1&oem=28&model=548&rpinum=GOC020","01-90-2674","600 ML RUBBER BOTTLE CAP","ASPIRATORS & SUCTION PUMPS
GOMCO®
Rotary Pumps with 3/4"" Rotor and 1/6 hp motor","RPI Part #GOC020
OEM Part #01-90-2674
600 ML RUBBER BOTTLE CAP
Model(s) This Part Fits: Diaphragm Pumps (300 Series), Rotary Pumps with 1"" Rotor and 1/4 or 1/6 hp motor, Rotary Pumps with 3/4"" Rotor and 1/6 hp motor, Rotary Pumps with 5/8"" Rotor and 1/20 hp motor
Catalog Page(s): 2-200
Part Description Updated: 11/24/2006","","http://www.rpiparts.com/pimages/GOC020.GIF",""
"GOC044","http://www.rpiparts.com/PartPage.asp?equip=1&oem=28&model=548&rpinum=GOC044","01-90-3695","DISPOSABLE COLLECTION CANISTER (1200 ml)","ASPIRATORS & SUCTION PUMPS
GOMCO®
Rotary Pumps with 3/4"" Rotor and 1/6 hp motor","RPI Part #GOC044
OEM Part #01-90-3695
DISPOSABLE COLLECTION CANISTER (1200 ml)
1200 cc (ml)
Clear plastic graduated canister with blue lid
Hydro-filter shut-off
Large pour spout
Includes: Elbow fittings and port caps
Fits: Stand or Mounting Bracket Ring
Model(s) This Part Fits: Diaphragm Pumps (300 Series), Rotary Pumps with 1"" Rotor and 1/4 or 1/6 hp motor, Rotary Pumps with 3/4"" Rotor and 1/6 hp motor, Rotary Pumps with 5/8"" Rotor and 1/20 hp motor, Thermotic Pumps - Model 6000/6002, Thermotic Pumps - Model 6010/6011, Thermotic Pumps - Model 6020, Thermotic Pumps - Model 6650
Catalog Page(s): 2-200
Part Description Updated: 7/20/2015","1200 cc (ml)
Clear plastic graduated canister with blue lid
Hydro-filter shut-off
Large pour spout
Includes: Elbow fittings and port caps","http://www.rpiparts.com/pimages/GOC044.GIF",""
"GOC045","http://www.rpiparts.com/PartPage.asp?equip=1&oem=28&model=548&rpinum=GOC045","01-90-3712","DISPOSABLE COLLECTION CANISTER (2100 ml)","ASPIRATORS & SUCTION PUMPS
GOMCO®
Rotary Pumps with 3/4"" Rotor and 1/6 hp motor","RPI Part #GOC045
OEM Part #01-90-3712
DISPOSABLE COLLECTION CANISTER (2100 ml)
2100 cc (ml)
Clear plastic graduated canister with blue lid
Hydro-filter shut-off
Tandem ports
Large pour spout
Includes: Elbow fittings and port caps
Fits: Stand or Mounting Bracket Ring
Model(s) This Part Fits: Diaphragm Pumps (300 Series), Rotary Pumps with 1"" Rotor and 1/4 or 1/6 hp motor, Rotary Pumps with 3/4"" Rotor and 1/6 hp motor, Rotary Pumps with 5/8"" Rotor and 1/20 hp motor, Thermotic Pumps - Model 6000/6002, Thermotic Pumps - Model 6010/6011, Thermotic Pumps - Model 6020, Thermotic Pumps - Model 6650
Catalog Page(s): 2-200
Part Description Updated: 7/20/2015","2100 cc (ml)
Clear plastic graduated canister with blue lid
Hydro-filter shut-off
Tandem ports
Large pour spout
Includes: Elbow fittings and port caps","http://www.rpiparts.com/pimages/GOC045.GIF",""
"GOF024","http://www.rpiparts.com/PartPage.asp?equip=1&oem=28&model=548&rpinum=GOF024","01-90-3928","BACTERIA FILTER","ASPIRATORS & SUCTION PUMPS
GOMCO®
Rotary Pumps with 3/4"" Rotor and 1/6 hp motor","RPI Part #GOF024
OEM Part #01-90-3928
BACTERIA FILTER
3 per package
.3 micron
1/4"" Barb x 1/4"" hose barb
Disk Size: 2.100""
Model(s) This Part Fits: Diaphragm Pumps (300 Series), Rotary Pumps with 1"" Rotor and 1/4 or 1/6 hp motor, Rotary Pumps with 3/4"" Rotor and 1/6 hp motor, Rotary Pumps with 5/8"" Rotor and 1/20 hp motor, Thermotic Pumps - Model 6000/6002, Thermotic Pumps - Model 6010/6011, Thermotic Pumps - Model 6020, Thermotic Pumps - Model 6650
Catalog Page(s): 2-200
Part Description Updated: 6/29/2006","3 per package
.3 micron
1/4"" Barb x 1/4"" hose barb
Disk Size: 2.100""","http://www.rpiparts.com/pimages/GOF024.GIF",""
"GOF025","http://www.rpiparts.com/PartPage.asp?equip=1&oem=28&model=548&rpinum=GOF025","01-90-3100","BACTERIA FILTER","ASPIRATORS & SUCTION PUMPS
GOMCO®
Rotary Pumps with 3/4"" Rotor and 1/6 hp motor","RPI Part #GOF025
OEM Part #01-90-3100
BACTERIA FILTER
3 per package
.3 micron
1/4"" Barb x 1/8"" MPT
Disk Size: 2.100""
Model(s) This Part Fits: Diaphragm Pumps (300 Series), Rotary Pumps with 1"" Rotor and 1/4 or 1/6 hp motor, Rotary Pumps with 3/4"" Rotor and 1/6 hp motor, Rotary Pumps with 5/8"" Rotor and 1/20 hp motor, Thermotic Pumps - Model 6000/6002, Thermotic Pumps - Model 6010/6011, Thermotic Pumps - Model 6020, Thermotic Pumps - Model 6650
Catalog Page(s): 2-200
Part Description Updated: 6/29/2006","3 per package
.3 micron
1/4"" Barb x 1/8"" MPT
Disk Size: 2.100""","http://www.rpiparts.com/pimages/GOF025.GIF",""
"GOG006","http://www.rpiparts.com/PartPage.asp?equip=1&oem=28&model=548&rpinum=GOG006","01-90-2338","VACUUM GAUGE","ASPIRATORS & SUCTION PUMPS
GOMCO®
Rotary Pumps with 3/4"" Rotor and 1/6 hp motor","RPI Part #GOG006
OEM Part #01-90-2338
VACUUM GAUGE
1.500"" Diameter Dial
0 to 30 In.Hg. (0 to 760 mmHg.)
Clockwise scale
Black bezel and body
1/8 MPT port
Fits: Muffler Bar
Model(s) This Part Fits: Rotary Pumps with 1"" Rotor and 1/4 or 1/6 hp motor, Rotary Pumps with 3/4"" Rotor and 1/6 hp motor, Rotary Pumps with 5/8"" Rotor and 1/20 hp motor
Catalog Page(s): 2-201
Part Description Updated: 10/16/2009","1.500"" Diameter Dial
0 to 30 In.Hg. (0 to 760 mmHg.)
Clockwise scale
Black bezel and body
1/8 MPT port","http://www.rpiparts.com/pimages/GOG006.GIF",""
"GOG014","http://www.rpiparts.com/PartPage.asp?equip=1&oem=28&model=548&rpinum=GOG014","01-90-2330","VALVE GASKET","ASPIRATORS & SUCTION PUMPS
GOMCO®
Rotary Pumps with 3/4"" Rotor and 1/6 hp motor","RPI Part #GOG014
OEM Part #01-90-2330
VALVE GASKET
Fits: Overflow Valve Cover (back)
Model(s) This Part Fits: Rotary Pumps with 1"" Rotor and 1/4 or 1/6 hp motor, Rotary Pumps with 3/4"" Rotor and 1/6 hp motor, Rotary Pumps with 5/8"" Rotor and 1/20 hp motor, Thermotic Pumps - Model 600 (765A), Thermotic Pumps - Model 601 (764), Thermotic Pumps - Model 965A
Catalog Page(s): 2-201
Part Description Updated: 11/1/2006","","http://www.rpiparts.com/pimages/GOG014.GIF",""
"GOK017","http://www.rpiparts.com/PartPage.asp?equip=1&oem=28&model=548&rpinum=GOK017","01-90-2416","3/4"" ROTOR SLIDE ASSEMBLY KIT","ASPIRATORS & SUCTION PUMPS
GOMCO®
Rotary Pumps with 3/4"" Rotor and 1/6 hp motor","RPI Part #GOK017
OEM Part #01-90-2416
3/4"" ROTOR SLIDE ASSEMBLY KIT
Includes 3/4
Fits: Pump Housing
Model(s) This Part Fits: Rotary Pumps with 3/4"" Rotor and 1/6 hp motor
Catalog Page(s): 2-201
Part Description Updated: 11/17/2006","Includes 3/4","http://www.rpiparts.com/pimages/GOK017.GIF",""
"GOK027","http://www.rpiparts.com/PartPage.asp?equip=1&oem=28&model=548&rpinum=GOK027","01-90-2291","NO LONGER AVAILABLE","ASPIRATORS & SUCTION PUMPS
GOMCO®
Rotary Pumps with 3/4"" Rotor and 1/6 hp motor","RPI Part #GOK027
OEM Part #01-90-2291
ROTARY UNIT PARTS KIT
See Notes: below for parts included in this Kit
All parts also sold separartely!
Model(s) This Part Fits: Rotary Pumps with 1"" Rotor and 1/4 or 1/6 hp motor, Rotary Pumps with 3/4"" Rotor and 1/6 hp motor, Rotary Pumps with 5/8"" Rotor and 1/20 hp motor
Catalog Page(s): 2-201
Part Description Updated: 3/5/2015","See Notes: below for parts included in this Kit
All parts also sold separartely!","http://www.rpiparts.com/pimages/GOK027.GIF","Notes:
Felt Filter Disc (RPI Part #GOF002)
Filter Disc (RPI Part #GOD018)
600 ML Rubber Bottle Cap (RPI Part #GOC020)
Rotary Pump Oil (RPI Part #GOL022)
Tubing Kit (Disposable) (RPI Part #GOA019)"
"GOL022","http://www.rpiparts.com/PartPage.asp?equip=1&oem=28&model=548&rpinum=GOL022","01-90-3106","ROTARY PUMP OIL","ASPIRATORS & SUCTION PUMPS
GOMCO®
Rotary Pumps with 3/4"" Rotor and 1/6 hp motor","RPI Part #GOL022
OEM Part #01-90-3106
ROTARY PUMP OIL
4 fl. oz.
Includes yorker spout
IS068 / AGMA 2 / SAE 20
For use with Rotary Pumps (dispenses in oil reservoir)
See Notes: below for SDS and Technical Data sheet
Fits: All Rotary Pumps (dispenses in oil reservoir)
Model(s) This Part Fits: Rotary Pumps with 1"" Rotor and 1/4 or 1/6 hp motor, Rotary Pumps with 3/4"" Rotor and 1/6 hp motor, Rotary Pumps with 5/8"" Rotor and 1/20 hp motor, Vac-U-Vestor, Vac-U-Vestor Table Top Models
Catalog Page(s): 2-201, 4-903, 6-201
Part Description Updated: 9/4/2015","4 fl. oz.
Includes yorker spout
IS068 / AGMA 2 / SAE 20
For use with Rotary Pumps (dispenses in oil reservoir)
See Notes: below for SDS and Technical Data sheet","http://www.rpiparts.com/pimages/GOL022.GIF","Notes:
Safety Data Sheet for this part. (Adobe PDF)"
"GOR028","http://www.rpiparts.com/PartPage.asp?equip=1&oem=28&model=548&rpinum=GOR028","01-90-2417","3/4"" ROTOR","ASPIRATORS & SUCTION PUMPS
GOMCO®
Rotary Pumps with 3/4"" Rotor and 1/6 hp motor","RPI Part #GOR028
OEM Part #01-90-2417
3/4"" ROTOR
Fits: Pump Housing
Model(s) This Part Fits: Rotary Pumps with 3/4"" Rotor and 1/6 hp motor
Catalog Page(s): 2-201
Part Description Updated: 4/29/2009","","http://www.rpiparts.com/pimages/GOR028.GIF",""
"GOS001","http://www.rpiparts.com/PartPage.asp?equip=1&oem=28&model=548&rpinum=GOS001","01-90-0550","NO. 8 STOPPER","ASPIRATORS & SUCTION PUMPS
GOMCO®
Rotary Pumps with 3/4"" Rotor and 1/6 hp motor","RPI Part #GOS001
OEM Part #01-90-0550
NO. 8 STOPPER
Fits: Bottle Top
Model(s) This Part Fits: Rotary Pumps with 1"" Rotor and 1/4 or 1/6 hp motor, Rotary Pumps with 3/4"" Rotor and 1/6 hp motor, Rotary Pumps with 5/8"" Rotor and 1/20 hp motor, Thermotic Pumps - Model 600 (765A), Thermotic Pumps - Model 601 (764), Thermotic Pumps - Model 6020, Thermotic Pumps - Model 965A
Catalog Page(s): 2-200
Part Description Updated: 11/1/2006","","http://www.rpiparts.com/pimages/GOS001.GIF",""
"GOS007","http://www.rpiparts.com/PartPage.asp?equip=1&oem=28&model=548&rpinum=GOS007","01-90-2902","VALVE SPRING","ASPIRATORS & SUCTION PUMPS
GOMCO®
Rotary Pumps with 3/4"" Rotor and 1/6 hp motor","RPI Part #GOS007
OEM Part #01-90-2902
VALVE SPRING
Fits: Overflow Valve Back
Model(s) This Part Fits: Rotary Pumps with 1"" Rotor and 1/4 or 1/6 hp motor, Rotary Pumps with 3/4"" Rotor and 1/6 hp motor, Rotary Pumps with 5/8"" Rotor and 1/20 hp motor
Catalog Page(s): 2-201
Part Description Updated: 11/1/2006","","http://www.rpiparts.com/pimages/GOS007.GIF",""
"GOS029","http://www.rpiparts.com/PartPage.asp?equip=1&oem=28&model=548&rpinum=GOS029","01-90-2418","3/4"" ROTOR SLIDES","ASPIRATORS & SUCTION PUMPS
GOMCO®
Rotary Pumps with 3/4"" Rotor and 1/6 hp motor","RPI Part #GOS029
OEM Part #01-90-2418
3/4"" ROTOR SLIDES
Set of 3
Brass
Model(s) This Part Fits: Rotary Pumps with 3/4"" Rotor and 1/6 hp motor
Catalog Page(s): 2-201
Part Description Updated: 12/4/2013","Set of 3
Brass","http://www.rpiparts.com/pimages/GOS029.GIF",""
"GOW035","http://www.rpiparts.com/PartPage.asp?equip=1&oem=28&model=548&rpinum=GOW035","01-90-2875","3/4” OIL WICKS","ASPIRATORS & SUCTION PUMPS
GOMCO®
Rotary Pumps with 3/4"" Rotor and 1/6 hp motor","RPI Part #GOW035
OEM Part #01-90-2875
3/4” OIL WICKS
3 per package
F-1 felt
White
Fits: 3/4” rotor
Model(s) This Part Fits: Rotary Pumps with 3/4"" Rotor and 1/6 hp motor
Catalog Page(s): 2-201
Part Description Updated: 10/10/2006","3 per package
F-1 felt
White","http://www.rpiparts.com/pimages/GOW035.GIF",""
"CAS063","http://www.rpiparts.com/PartPage.asp?equip=1&oem=28&model=546&rpinum=CAS063","42010306 / 01-90-2304 / 0103-602-001","ON/OFF SWITCH","ASPIRATORS & SUCTION PUMPS
GOMCO®
Rotary Pumps with 5/8"" Rotor and 1/20 hp motor","RPI Part #CAS063
OEM Part #42010306 / 01-90-2304 / 0103-602-001
ON/OFF SWITCH
SPDT
15A @ 125VAC; 10A @ 250VAC; 1/2HP @ 250VAC
Fits: Front panel of base
Model(s) This Part Fits: Diaphragm Pumps (300 Series), Dynac II, Rotary Pumps with 1"" Rotor and 1/4 or 1/6 hp motor, Rotary Pumps with 3/4"" Rotor and 1/6 hp motor, Rotary Pumps with 5/8"" Rotor and 1/20 hp motor
Catalog Page(s): 2-200, 3-505
Part Description Updated: 8/20/2014","SPDT
15A @ 125VAC; 10A @ 250VAC; 1/2HP @ 250VAC","http://www.rpiparts.com/pimages/CAS063.GIF",""
"GOA019","http://www.rpiparts.com/PartPage.asp?equip=1&oem=28&model=546&rpinum=GOA019","01-90-2000","TUBING KIT (DISPOSABLE)","ASPIRATORS & SUCTION PUMPS
GOMCO®
Rotary Pumps with 5/8"" Rotor and 1/20 hp motor","RPI Part #GOA019
Old RPI Part #GOK019
OEM Part #01-90-2000
TUBING KIT (DISPOSABLE)
Includes (1) each of 15"" and 6' long tubing
Model(s) This Part Fits: Diaphragm Pumps (300 Series), Rotary Pumps with 1"" Rotor and 1/4 or 1/6 hp motor, Rotary Pumps with 3/4"" Rotor and 1/6 hp motor, Rotary Pumps with 5/8"" Rotor and 1/20 hp motor, Thermotic Pumps - Model 6000/6002, Thermotic Pumps - Model 6010/6011, Thermotic Pumps - Model 6020, Thermotic Pumps - Model 6650
Catalog Page(s): 2-200
Part Description Updated: 5/15/2008","Includes (1) each of 15"" and 6' long tubing","http://www.rpiparts.com/pimages/GOA019.GIF",""
"GOC020","http://www.rpiparts.com/PartPage.asp?equip=1&oem=28&model=546&rpinum=GOC020","01-90-2674","600 ML RUBBER BOTTLE CAP","ASPIRATORS & SUCTION PUMPS
GOMCO®
Rotary Pumps with 5/8"" Rotor and 1/20 hp motor","RPI Part #GOC020
OEM Part #01-90-2674
600 ML RUBBER BOTTLE CAP
Model(s) This Part Fits: Diaphragm Pumps (300 Series), Rotary Pumps with 1"" Rotor and 1/4 or 1/6 hp motor, Rotary Pumps with 3/4"" Rotor and 1/6 hp motor, Rotary Pumps with 5/8"" Rotor and 1/20 hp motor
Catalog Page(s): 2-200
Part Description Updated: 11/24/2006","","http://www.rpiparts.com/pimages/GOC020.GIF",""
"GOC044","http://www.rpiparts.com/PartPage.asp?equip=1&oem=28&model=546&rpinum=GOC044","01-90-3695","DISPOSABLE COLLECTION CANISTER (1200 ml)","ASPIRATORS & SUCTION PUMPS
GOMCO®
Rotary Pumps with 5/8"" Rotor and 1/20 hp motor","RPI Part #GOC044
OEM Part #01-90-3695
DISPOSABLE COLLECTION CANISTER (1200 ml)
1200 cc (ml)
Clear plastic graduated canister with blue lid
Hydro-filter shut-off
Large pour spout
Includes: Elbow fittings and port caps
Fits: Stand or Mounting Bracket Ring
Model(s) This Part Fits: Diaphragm Pumps (300 Series), Rotary Pumps with 1"" Rotor and 1/4 or 1/6 hp motor, Rotary Pumps with 3/4"" Rotor and 1/6 hp motor, Rotary Pumps with 5/8"" Rotor and 1/20 hp motor, Thermotic Pumps - Model 6000/6002, Thermotic Pumps - Model 6010/6011, Thermotic Pumps - Model 6020, Thermotic Pumps - Model 6650
Catalog Page(s): 2-200
Part Description Updated: 7/20/2015","1200 cc (ml)
Clear plastic graduated canister with blue lid
Hydro-filter shut-off
Large pour spout
Includes: Elbow fittings and port caps","http://www.rpiparts.com/pimages/GOC044.GIF",""
"GOC045","http://www.rpiparts.com/PartPage.asp?equip=1&oem=28&model=546&rpinum=GOC045","01-90-3712","DISPOSABLE COLLECTION CANISTER (2100 ml)","ASPIRATORS & SUCTION PUMPS
GOMCO®
Rotary Pumps with 5/8"" Rotor and 1/20 hp motor","RPI Part #GOC045
OEM Part #01-90-3712
DISPOSABLE COLLECTION CANISTER (2100 ml)
2100 cc (ml)
Clear plastic graduated canister with blue lid
Hydro-filter shut-off
Tandem ports
Large pour spout
Includes: Elbow fittings and port caps
Fits: Stand or Mounting Bracket Ring
Model(s) This Part Fits: Diaphragm Pumps (300 Series), Rotary Pumps with 1"" Rotor and 1/4 or 1/6 hp motor, Rotary Pumps with 3/4"" Rotor and 1/6 hp motor, Rotary Pumps with 5/8"" Rotor and 1/20 hp motor, Thermotic Pumps - Model 6000/6002, Thermotic Pumps - Model 6010/6011, Thermotic Pumps - Model 6020, Thermotic Pumps - Model 6650
Catalog Page(s): 2-200
Part Description Updated: 7/20/2015","2100 cc (ml)
Clear plastic graduated canister with blue lid
Hydro-filter shut-off
Tandem ports
Large pour spout
Includes: Elbow fittings and port caps","http://www.rpiparts.com/pimages/GOC045.GIF",""
"GOF024","http://www.rpiparts.com/PartPage.asp?equip=1&oem=28&model=546&rpinum=GOF024","01-90-3928","BACTERIA FILTER","ASPIRATORS & SUCTION PUMPS
GOMCO®
Rotary Pumps with 5/8"" Rotor and 1/20 hp motor","RPI Part #GOF024
OEM Part #01-90-3928
BACTERIA FILTER
3 per package
.3 micron
1/4"" Barb x 1/4"" hose barb
Disk Size: 2.100""
Model(s) This Part Fits: Diaphragm Pumps (300 Series), Rotary Pumps with 1"" Rotor and 1/4 or 1/6 hp motor, Rotary Pumps with 3/4"" Rotor and 1/6 hp motor, Rotary Pumps with 5/8"" Rotor and 1/20 hp motor, Thermotic Pumps - Model 6000/6002, Thermotic Pumps - Model 6010/6011, Thermotic Pumps - Model 6020, Thermotic Pumps - Model 6650
Catalog Page(s): 2-200
Part Description Updated: 6/29/2006","3 per package
.3 micron
1/4"" Barb x 1/4"" hose barb
Disk Size: 2.100""","http://www.rpiparts.com/pimages/GOF024.GIF",""
"GOF025","http://www.rpiparts.com/PartPage.asp?equip=1&oem=28&model=546&rpinum=GOF025","01-90-3100","BACTERIA FILTER","ASPIRATORS & SUCTION PUMPS
GOMCO®
Rotary Pumps with 5/8"" Rotor and 1/20 hp motor","RPI Part #GOF025
OEM Part #01-90-3100
BACTERIA FILTER
3 per package
.3 micron
1/4"" Barb x 1/8"" MPT
Disk Size: 2.100""
Model(s) This Part Fits: Diaphragm Pumps (300 Series), Rotary Pumps with 1"" Rotor and 1/4 or 1/6 hp motor, Rotary Pumps with 3/4"" Rotor and 1/6 hp motor, Rotary Pumps with 5/8"" Rotor and 1/20 hp motor, Thermotic Pumps - Model 6000/6002, Thermotic Pumps - Model 6010/6011, Thermotic Pumps - Model 6020, Thermotic Pumps - Model 6650
Catalog Page(s): 2-200
Part Description Updated: 6/29/2006","3 per package
.3 micron
1/4"" Barb x 1/8"" MPT
Disk Size: 2.100""","http://www.rpiparts.com/pimages/GOF025.GIF",""
"GOG006","http://www.rpiparts.com/PartPage.asp?equip=1&oem=28&model=546&rpinum=GOG006","01-90-2338","VACUUM GAUGE","ASPIRATORS & SUCTION PUMPS
GOMCO®
Rotary Pumps with 5/8"" Rotor and 1/20 hp motor","RPI Part #GOG006
OEM Part #01-90-2338
VACUUM GAUGE
1.500"" Diameter Dial
0 to 30 In.Hg. (0 to 760 mmHg.)
Clockwise scale
Black bezel and body
1/8 MPT port
Fits: Muffler Bar
Model(s) This Part Fits: Rotary Pumps with 1"" Rotor and 1/4 or 1/6 hp motor, Rotary Pumps with 3/4"" Rotor and 1/6 hp motor, Rotary Pumps with 5/8"" Rotor and 1/20 hp motor
Catalog Page(s): 2-201
Part Description Updated: 10/16/2009","1.500"" Diameter Dial
0 to 30 In.Hg. (0 to 760 mmHg.)
Clockwise scale
Black bezel and body
1/8 MPT port","http://www.rpiparts.com/pimages/GOG006.GIF",""
"GOG014","http://www.rpiparts.com/PartPage.asp?equip=1&oem=28&model=546&rpinum=GOG014","01-90-2330","VALVE GASKET","ASPIRATORS & SUCTION PUMPS
GOMCO®
Rotary Pumps with 5/8"" Rotor and 1/20 hp motor","RPI Part #GOG014
OEM Part #01-90-2330
VALVE GASKET
Fits: Overflow Valve Cover (back)
Model(s) This Part Fits: Rotary Pumps with 1"" Rotor and 1/4 or 1/6 hp motor, Rotary Pumps with 3/4"" Rotor and 1/6 hp motor, Rotary Pumps with 5/8"" Rotor and 1/20 hp motor, Thermotic Pumps - Model 600 (765A), Thermotic Pumps - Model 601 (764), Thermotic Pumps - Model 965A
Catalog Page(s): 2-201
Part Description Updated: 11/1/2006","","http://www.rpiparts.com/pimages/GOG014.GIF",""
"GOK027","http://www.rpiparts.com/PartPage.asp?equip=1&oem=28&model=546&rpinum=GOK027","01-90-2291","NO LONGER AVAILABLE","ASPIRATORS & SUCTION PUMPS
GOMCO®
Rotary Pumps with 5/8"" Rotor and 1/20 hp motor","RPI Part #GOK027
OEM Part #01-90-2291
ROTARY UNIT PARTS KIT
See Notes: below for parts included in this Kit
All parts also sold separartely!
Model(s) This Part Fits: Rotary Pumps with 1"" Rotor and 1/4 or 1/6 hp motor, Rotary Pumps with 3/4"" Rotor and 1/6 hp motor, Rotary Pumps with 5/8"" Rotor and 1/20 hp motor
Catalog Page(s): 2-201
Part Description Updated: 3/5/2015","See Notes: below for parts included in this Kit
All parts also sold separartely!","http://www.rpiparts.com/pimages/GOK027.GIF","Notes:
Felt Filter Disc (RPI Part #GOF002)
Filter Disc (RPI Part #GOD018)
600 ML Rubber Bottle Cap (RPI Part #GOC020)
Rotary Pump Oil (RPI Part #GOL022)
Tubing Kit (Disposable) (RPI Part #GOA019)"
"GOL022","http://www.rpiparts.com/PartPage.asp?equip=1&oem=28&model=546&rpinum=GOL022","01-90-3106","ROTARY PUMP OIL","ASPIRATORS & SUCTION PUMPS
GOMCO®
Rotary Pumps with 5/8"" Rotor and 1/20 hp motor","RPI Part #GOL022
OEM Part #01-90-3106
ROTARY PUMP OIL
4 fl. oz.
Includes yorker spout
IS068 / AGMA 2 / SAE 20
For use with Rotary Pumps (dispenses in oil reservoir)
See Notes: below for SDS and Technical Data sheet
Fits: All Rotary Pumps (dispenses in oil reservoir)
Model(s) This Part Fits: Rotary Pumps with 1"" Rotor and 1/4 or 1/6 hp motor, Rotary Pumps with 3/4"" Rotor and 1/6 hp motor, Rotary Pumps with 5/8"" Rotor and 1/20 hp motor, Vac-U-Vestor, Vac-U-Vestor Table Top Models
Catalog Page(s): 2-201, 4-903, 6-201
Part Description Updated: 9/4/2015","4 fl. oz.
Includes yorker spout
IS068 / AGMA 2 / SAE 20
For use with Rotary Pumps (dispenses in oil reservoir)
See Notes: below for SDS and Technical Data sheet","http://www.rpiparts.com/pimages/GOL022.GIF","Notes:
Safety Data Sheet for this part. (Adobe PDF)"
"GOS001","http://www.rpiparts.com/PartPage.asp?equip=1&oem=28&model=546&rpinum=GOS001","01-90-0550","NO. 8 STOPPER","ASPIRATORS & SUCTION PUMPS
GOMCO®
Rotary Pumps with 5/8"" Rotor and 1/20 hp motor","RPI Part #GOS001
OEM Part #01-90-0550
NO. 8 STOPPER
Fits: Bottle Top
Model(s) This Part Fits: Rotary Pumps with 1"" Rotor and 1/4 or 1/6 hp motor, Rotary Pumps with 3/4"" Rotor and 1/6 hp motor, Rotary Pumps with 5/8"" Rotor and 1/20 hp motor, Thermotic Pumps - Model 600 (765A), Thermotic Pumps - Model 601 (764), Thermotic Pumps - Model 6020, Thermotic Pumps - Model 965A
Catalog Page(s): 2-200
Part Description Updated: 11/1/2006","","http://www.rpiparts.com/pimages/GOS001.GIF",""
"GOS007","http://www.rpiparts.com/PartPage.asp?equip=1&oem=28&model=546&rpinum=GOS007","01-90-2902","VALVE SPRING","ASPIRATORS & SUCTION PUMPS
GOMCO®
Rotary Pumps with 5/8"" Rotor and 1/20 hp motor","RPI Part #GOS007
OEM Part #01-90-2902
VALVE SPRING
Fits: Overflow Valve Back
Model(s) This Part Fits: Rotary Pumps with 1"" Rotor and 1/4 or 1/6 hp motor, Rotary Pumps with 3/4"" Rotor and 1/6 hp motor, Rotary Pumps with 5/8"" Rotor and 1/20 hp motor
Catalog Page(s): 2-201
Part Description Updated: 11/1/2006","","http://www.rpiparts.com/pimages/GOS007.GIF",""
"GOS036","http://www.rpiparts.com/PartPage.asp?equip=1&oem=28&model=546&rpinum=GOS036","01-90-2322","5/8” ROTOR SLIDES","ASPIRATORS & SUCTION PUMPS
GOMCO®
Rotary Pumps with 5/8"" Rotor and 1/20 hp motor","RPI Part #GOS036
OEM Part #01-90-2322
5/8” ROTOR SLIDES
Set of 3
Brass
Fits: 5/8” rotor
Model(s) This Part Fits: Rotary Pumps with 5/8"" Rotor and 1/20 hp motor
Catalog Page(s): 2-201
Part Description Updated: 10/10/2006","Set of 3
Brass","http://www.rpiparts.com/pimages/GOS036.GIF",""
