"selection3_name","selection3_url","selection3_selection4","selection3_selection5","selection3_selection6","selection3_selection7","selection3_selection8","selection3_selection9","selection3_selection10"
"HAA001","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3163&rpinum=HAA001","(OEM Part # Not Available)","MOTOR AND PUMP ASSEMBLY","EXAM TABLES & CHAIRS
HAMILTON
2K160","RPI Part #HAA001
OEM Part # (OEM Part # Not Available)
MOTOR AND PUMP ASSEMBLY
Two Capacitors (RPI Part #MIC019) are required when replacing old style brush motor with this motor and pump assembly
Fits: Power Pack Assembly
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-201
Part Description Updated: 6/25/2014","Two Capacitors (RPI Part #MIC019) are required when replacing old style brush motor with this motor and pump assembly","http://www.rpiparts.com/pimages/HAA001.GIF",""
"HAB009","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3163&rpinum=HAB009","(OEM Part # Not Available)","BOLT","EXAM TABLES & CHAIRS
HAMILTON
2K160","RPI Part #HAB009
OEM Part # (OEM Part # Not Available)
BOLT
6 per package
1/4-20 x 7/8"" lg.
Fits: Power Pack Assembly
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-200
Part Description Updated: 6/25/2014","6 per package
1/4-20 x 7/8"" lg.","http://www.rpiparts.com/pimages/HAB009.GIF",""
"HAC002","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3163&rpinum=HAC002","(OEM Part # Not Available)","REPLACED BY MIC019","EXAM TABLES & CHAIRS
HAMILTON
2K160","RPI Part #HAC002
OEM Part # (OEM Part # Not Available)
CAPACITOR
220-250 VAC, 124-149 µf
Fits: Power Pack Assembly
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-201
Part Description Updated: 6/25/2014","220-250 VAC, 124-149 µf","http://www.rpiparts.com/pimages/HAC002.GIF",""
"HAC003","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3163&rpinum=HAC003","54959","TOP CYLINDER","EXAM TABLES & CHAIRS
HAMILTON
2K160","RPI Part #HAC003
OEM Part #54959
TOP CYLINDER
2.13"" OD x 14.75"" lg. - Center hole to center hole (retracted)
Includes:
Cylinder
(3 pieces) Cable Tie (12"" Black) (RPI Part #RPT375)
Also available, Hydraulic Fluid ( RPI Part #RPF384 )
See Warning below
Fits: Table Back
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-201
Part Description Updated: 12/27/2010","Cylinder
(3 pieces) Cable Tie (12"" Black) (RPI Part #RPT375)","http://www.rpiparts.com/pimages/HAC003.GIF","Notes: Warning: When attaching hydraulic hoses to the RPI cylinders, torque the hose fittings between 55 - 60 Inch Pounds only. Additional torque could damage the threads in these cylinders. When replacing hydraulic hoses, route hose exactly as the original was installed to avoid pinching, chaffing and premature wear. Remember to replace any removed clamp, cable ties and safety devices when installing new cylinders and hoses."
"HAC004","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3163&rpinum=HAC004","54960","TABLE CYLINDER","EXAM TABLES & CHAIRS
HAMILTON
2K160","RPI Part #HAC004
OEM Part #54960
TABLE CYLINDER
2.13"" OD x 19.12"" lg. - Center hole to center hole
Includes:
Cylinder
(3 pieces) Cable Tie (12"" Black) (RPI Part #RPT375)
Also available, Hydraulic Fluid ( RPI Part #RPF384 )
See Warning below
Fits: Table Base
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-201
Part Description Updated: 12/27/2010","Cylinder
(3 pieces) Cable Tie (12"" Black) (RPI Part #RPT375)","http://www.rpiparts.com/pimages/HAC004.GIF","Notes: Warning: When attaching hydraulic hoses to the RPI cylinders, torque the hose fittings between 55 - 60 Inch Pounds only. Additional torque could damage the threads in these cylinders. When replacing hydraulic hoses, route hose exactly as the original was installed to avoid pinching, chaffing and premature wear. Remember to replace any removed clamp, cable ties and safety devices when installing new cylinders and hoses."
"HAG011","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3163&rpinum=HAG011","(OEM Part # Not Available)","GROMMET","EXAM TABLES & CHAIRS
HAMILTON
2K160","RPI Part #HAG011
OEM Part # (OEM Part # Not Available)
GROMMET
6 per package
Fits: Power Pack Assembly
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-200
Part Description Updated: 6/25/2014","6 per package","http://www.rpiparts.com/pimages/HAG011.GIF",""
"HAH005","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3163&rpinum=HAH005","54962","HOSE ASSEMBLY (~85-1/2"")","EXAM TABLES & CHAIRS
HAMILTON
2K160","RPI Part #HAH005
OEM Part #54962
HOSE ASSEMBLY (~85-1/2"")
Power side - bottom of cylinder
Fits: Cylinder
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-201
Part Description Updated: 8/21/2006","Power side - bottom of cylinder","http://www.rpiparts.com/pimages/HAH005.GIF",""
"HAH006","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3163&rpinum=HAH006","54961","HOSE ASSEMBLY (~97-1/2"")","EXAM TABLES & CHAIRS
HAMILTON
2K160","RPI Part #HAH006
OEM Part #54961
HOSE ASSEMBLY (~97-1/2"")
Return side - top of cylinder
Fits: Cylinder
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-201
Part Description Updated: 8/21/2006","Return side - top of cylinder","http://www.rpiparts.com/pimages/HAH006.GIF",""
"HAK016","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3163&rpinum=HAK016","(OEM Part # Not Available)","CLEVIS KEY","EXAM TABLES & CHAIRS
HAMILTON
2K160","RPI Part #HAK016
OEM Part # (OEM Part # Not Available)
CLEVIS KEY
4 per package
3/8"" dia. x 1-1/2"" lg.
Zinc plated
Fits: Clevis Pin Rod and Cylinder
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-200
Part Description Updated: 6/25/2014","4 per package
3/8"" dia. x 1-1/2"" lg.
Zinc plated","http://www.rpiparts.com/pimages/HAK016.GIF",""
"HAN013","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3163&rpinum=HAN013","(OEM Part # Not Available)","LOCKNUT","EXAM TABLES & CHAIRS
HAMILTON
2K160","RPI Part #HAN013
OEM Part # (OEM Part # Not Available)
LOCKNUT
6 per package
1/4-20
Stainless steel
Fits: Power Pack Assembly
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-200
Part Description Updated: 6/25/2014","6 per package
1/4-20
Stainless steel","http://www.rpiparts.com/pimages/HAN013.GIF",""
"HAN017","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3163&rpinum=HAN017","(OEM Part # Not Available)","HEX NUT","EXAM TABLES & CHAIRS
HAMILTON
2K160","RPI Part #HAN017
OEM Part # (OEM Part # Not Available)
HEX NUT
4 per package
8-32
Brass
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-200
Part Description Updated: 6/25/2014","4 per package
8-32
Brass","http://www.rpiparts.com/pimages/HAN017.GIF",""
"HAP014","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3163&rpinum=HAP014","(OEM Part # Not Available)","CLEVIS PIN (ROD)","EXAM TABLES & CHAIRS
HAMILTON
2K160","RPI Part #HAP014
OEM Part # (OEM Part # Not Available)
CLEVIS PIN (ROD)
2 per package
3/8"" dia. x 1-1/8"" lg.
Zinc plated
Fits: Cylinder
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-200
Part Description Updated: 6/25/2014","2 per package
3/8"" dia. x 1-1/8"" lg.
Zinc plated","http://www.rpiparts.com/pimages/HAP014.GIF",""
"HAP015","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3163&rpinum=HAP015","(OEM Part # Not Available)","CLEVIS PIN (CYLINDER)","EXAM TABLES & CHAIRS
HAMILTON
2K160","RPI Part #HAP015
OEM Part # (OEM Part # Not Available)
CLEVIS PIN (CYLINDER)
2 per package
3/8"" dia. x 1-5/8"" lg.
Fits: Cylinder
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-200
Part Description Updated: 6/25/2014","2 per package
3/8"" dia. x 1-5/8"" lg.","http://www.rpiparts.com/pimages/HAP015.GIF",""
"HAS010","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3163&rpinum=HAS010","(OEM Part # Not Available)","SLEEVE","EXAM TABLES & CHAIRS
HAMILTON
2K160","RPI Part #HAS010
OEM Part # (OEM Part # Not Available)
SLEEVE
6 per package
1/4"" ID x .438"" lg.
Fits: Grommet
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-200
Part Description Updated: 6/25/2014","6 per package
1/4"" ID x .438"" lg.","http://www.rpiparts.com/pimages/HAS010.GIF",""
"HAW012","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3163&rpinum=HAW012","(OEM Part # Not Available)","WASHER","EXAM TABLES & CHAIRS
HAMILTON
2K160","RPI Part #HAW012
OEM Part # (OEM Part # Not Available)
WASHER
6 per package
1/4"" Flat (CRS)
Fits: Power Pack Assembly
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89
Catalog Page(s): 11-200
Part Description Updated: 6/25/2014","6 per package
1/4"" Flat (CRS)","http://www.rpiparts.com/pimages/HAW012.GIF",""
"LMP015","http://www.rpiparts.com/PartPage.asp?equip=15&oem=29&model=3163&rpinum=LMP015","48693","WARMER LAMP","EXAM TABLES & CHAIRS
HAMILTON
2K160","RPI Part #LMP015
Old RPI Part #HAL007
OEM Part #48693
Industry Part #25T10
WARMER LAMP
120V, 25W
Base: Medium screw, prefocus
Fits: Instrument Warmer Drawer
Model(s) This Part Fits: 2K150, 2K160, 2K191, 2K260, 2K60, 2K87, 2K89, LAMPS & BULBS
Catalog Page(s): 8-200, 11-200
Part Description Updated: 8/21/2006","120V, 25W
Base: Medium screw, prefocus","http://www.rpiparts.com/pimages/LMP015.GIF",""
