"selection3_name","selection3_url","selection3_selection4","selection3_selection5","selection3_selection6","selection3_selection7","selection3_selection8","selection3_selection9","selection3_selection10"
"AIA055","http://www.rpiparts.com/PartPage.asp?equip=17&oem=2&model=539&rpinum=AIA055","7893182/MU10688","HEATER SOCKET ASSEMBLY","INFANT INCUBATORS & WARMERS
DRAGER • HILL-ROM • AIR SHIELDS
7830 (Radiant Warmer)","RPI Part #AIA055
OEM Part #7893182/MU10688
HEATER SOCKET ASSEMBLY
Ceramic socket
~5-1/2"" lg. wire
Fits: Heater/Reflector Assembly
Model(s) This Part Fits: 7810 (Radiant Warmer), 7820 (Radiant Warmer), 7830 (Radiant Warmer), 7840 (Radiant Warmer), IICS (PM 78-1)
Catalog Page(s): 7-301
Part Description Updated: 10/1/2014","Ceramic socket
~5-1/2"" lg. wire","http://www.rpiparts.com/pimages/AIA055.GIF",""
"AIH040","http://www.rpiparts.com/PartPage.asp?equip=17&oem=2&model=539&rpinum=AIH040","78 263 00/78 263 10/MU09712/AIH040","HEATING ELEMENT - 120V","INFANT INCUBATORS & WARMERS
DRAGER • HILL-ROM • AIR SHIELDS
7830 (Radiant Warmer)","RPI Part #AIH040
OEM Part #78 263 00/78 263 10/MU09712/AIH040
HEATING ELEMENT - 120V
~15"" lg.
600W, 120VAC, ~24ohms
220/240VAC Heating Element to fit IICS is also available. See RPI Part #AIH094
Fits: Heater socket assembly
Model(s) This Part Fits: 7810 (Radiant Warmer), 7820 (Radiant Warmer), 7830 (Radiant Warmer), 7840 (Radiant Warmer), IICS (PM 78-1)
Catalog Page(s): 7-301
Part Description Updated: 2/21/2013","~15"" lg.
600W, 120VAC, ~24ohms
220/240VAC Heating Element to fit IICS is also available. See RPI Part #AIH094","http://www.rpiparts.com/pimages/AIH040.GIF",""
"AIH094","http://www.rpiparts.com/PartPage.asp?equip=17&oem=2&model=539&rpinum=AIH094","MU09713 / 78 263 01 / 78 263 11","HEATING ELEMENT - 220/240V","INFANT INCUBATORS & WARMERS
DRAGER • HILL-ROM • AIR SHIELDS
7830 (Radiant Warmer)","RPI Part #AIH094
OEM Part #MU09713 / 78 263 01 / 78 263 11
HEATING ELEMENT - 220/240V
600W; 240VAC; ~96Ω
~15"" lg.
Fits: Heater Socket Assembly
Model(s) This Part Fits: 7810 (Radiant Warmer), 7820 (Radiant Warmer), 7830 (Radiant Warmer), 7840 (Radiant Warmer), IICS (PM 78-1)
Catalog Page(s): 7-301
Part Description Updated: 8/29/2012","600W; 240VAC; ~96Ω
~15"" lg.","http://www.rpiparts.com/pimages/AIH094.GIF",""
"AIP064","http://www.rpiparts.com/PartPage.asp?equip=17&oem=2&model=539&rpinum=AIP064","68 209 70 / MU06951","SKIN TEMPERATURE PROBE (Reusable)","INFANT INCUBATORS & WARMERS
DRAGER • HILL-ROM • AIR SHIELDS
7830 (Radiant Warmer)","RPI Part #AIP064
OEM Part #68 209 70 / MU06951
SKIN TEMPERATURE PROBE (Reusable)
Reusable Style
3 pin connector
See Notes below
For a complete listing of related parts, click this link. (Adobe PDF)
Fits: Controller
Model(s) This Part Fits: 7810 (Radiant Warmer), 7820 (Radiant Warmer), 7830 (Radiant Warmer), 7840 (Radiant Warmer), IICS (PM 78-1), Isolette C-100, Isolette C-100 QT, Isolette C-450 QT, Isolette C-550 QT
Catalog Page(s): 7-203, 7-301
Part Description Updated: 6/26/2013","Reusable Style
3 pin connector
See Notes below
For a complete listing of related parts, click this link. (Adobe PDF)","http://www.rpiparts.com/pimages/AIP064.GIF","Notes:
Also Available:
Skin Temperature Probe (Disposable) (RPI Part #AIP080 - 10 count)
Skin Temperature Probe (Disposable) - case (RPI Part #AIP101 - 100 count)
Reflective Probe Cover (RPI Part #RPC619)"
"AIP080","http://www.rpiparts.com/PartPage.asp?equip=17&oem=2&model=539&rpinum=AIP080","68 209 20 / MU06933","SKIN TEMPERATURE PROBE (Disposable)","INFANT INCUBATORS & WARMERS
DRAGER • HILL-ROM • AIR SHIELDS
7830 (Radiant Warmer)","RPI Part #AIP080
OEM Part #68 209 20 / MU06933
SKIN TEMPERATURE PROBE (Disposable)
Single use only
3 pin din connector
Includes: (10) probes and (10 pieces) Reflective Probe Cover (RPI Part #RPC619)
See Notes below
For a complete listing of related parts, click this link. (Adobe PDF)
Fits: Controller
Model(s) This Part Fits: 7810 (Radiant Warmer), 7820 (Radiant Warmer), 7830 (Radiant Warmer), 7840 (Radiant Warmer), IICS (PM 78-1), Isolette C-100, Isolette C-100 QT, Isolette C-450 QT, Isolette C-550 QT
Catalog Page(s): 7-203, 7-301
Part Description Updated: 6/26/2013","Single use only
3 pin din connector
Includes: (10) probes and (10 pieces) Reflective Probe Cover (RPI Part #RPC619)
See Notes below
For a complete listing of related parts, click this link. (Adobe PDF)","http://www.rpiparts.com/pimages/AIP080.GIF","Notes:
Also Available:
Skin Temperature Probe (Disposable) - case (RPI Part #AIP101 - 100 count)
Skin Temperature Probe - Reusable (RPI Part #AIP064)
Reflective Probe Cover (RPI Part #RPC619)"
"AIP101","http://www.rpiparts.com/PartPage.asp?equip=17&oem=2&model=539&rpinum=AIP101","68 209 30 / MU06935","SKIN TEMPERATURE PROBE (Disposable) - Case","INFANT INCUBATORS & WARMERS
DRAGER • HILL-ROM • AIR SHIELDS
7830 (Radiant Warmer)","RPI Part #AIP101
OEM Part #68 209 30 / MU06935
SKIN TEMPERATURE PROBE (Disposable) - Case
Includes: Case of 10 packages of (RPI Part #AIP080) (100) probes and (100 pieces) Reflective Probe Cover (RPI Part #RPC619)
Single use only
3 pin din connector
See Notes below
For a complete listing of related parts, click this link. (Adobe PDF)
Fits: Controller
Model(s) This Part Fits: 7810 (Radiant Warmer), 7820 (Radiant Warmer), 7830 (Radiant Warmer), 7840 (Radiant Warmer), IICS (PM 78-1), Isolette C-100, Isolette C-100 QT, Isolette C-450 QT, Isolette C-550 QT
Catalog Page(s): 7-202, 7-301
Part Description Updated: 5/24/2016","Includes: Case of 10 packages of (RPI Part #AIP080) (100) probes and (100 pieces) Reflective Probe Cover (RPI Part #RPC619)
Single use only
3 pin din connector
See Notes below
For a complete listing of related parts, click this link. (Adobe PDF)","http://www.rpiparts.com/pimages/AIP101.GIF","Notes:
Also Available:
Skin Temperature Probe (Disposable) (RPI Part #AIP080 - 10 count)
Skin Temperature Probe - Reusable (RPI Part #AIP064)
Reflective Probe Cover (RPI Part #RPC619)"
"AIR013","http://www.rpiparts.com/PartPage.asp?equip=17&oem=2&model=539&rpinum=AIR013","17 652 78/68 903 83/68 903 84/MU08571/MU08572/MU8571","RELAY","INFANT INCUBATORS & WARMERS
DRAGER • HILL-ROM • AIR SHIELDS
7830 (Radiant Warmer)","RPI Part #AIR013
OEM Part #17 652 78/68 903 83/68 903 84/MU08571/MU08572/MU8571
RELAY
Contacts: 10A @ 24-280 VDC
Input: 3-32 VDC
Size: ~2.25""L X 1.75""W X .78""H
Fits: Controller
Model(s) This Part Fits: 7810 (Radiant Warmer), 7820 (Radiant Warmer), 7830 (Radiant Warmer), 7840 (Radiant Warmer), IICS (PM 78-1), Isolette C-100, Isolette C-100 QT, Isolette C-200, Isolette C-200 QT
Catalog Page(s): 7-204, 7-301
Part Description Updated: 8/21/2014","Contacts: 10A @ 24-280 VDC
Input: 3-32 VDC
Size: ~2.25""L X 1.75""W X .78""H","http://www.rpiparts.com/pimages/AIR013.GIF",""
"AIS047","http://www.rpiparts.com/PartPage.asp?equip=17&oem=2&model=539&rpinum=AIS047","17 682 63 /MU03291","ROCKER SWITCH","INFANT INCUBATORS & WARMERS
DRAGER • HILL-ROM • AIR SHIELDS
7830 (Radiant Warmer)","RPI Part #AIS047
OEM Part #17 682 63 /MU03291
ROCKER SWITCH
DPST
22A @ 125VAC; 16A @ 250VAC
.250"" TABS
Color: Black
Fits: Basic Assembly (C300) and Warmer Module (IICS)
Model(s) This Part Fits: 7810 (Radiant Warmer), 7820 (Radiant Warmer), 7830 (Radiant Warmer), 7840 (Radiant Warmer), IICS (PM 78-1), Isolette C-300
Catalog Page(s): 7-203, 7-301
Part Description Updated: 8/21/2014","DPST
22A @ 125VAC; 16A @ 250VAC
.250"" TABS
Color: Black","http://www.rpiparts.com/pimages/AIS047.GIF",""
"AIS048","http://www.rpiparts.com/PartPage.asp?equip=17&oem=2&model=539&rpinum=AIS048","78 932 00","NO LONGER AVAILABLE","INFANT INCUBATORS & WARMERS
DRAGER • HILL-ROM • AIR SHIELDS
7830 (Radiant Warmer)","RPI Part #AIS048
OEM Part #78 932 00
PUSH-BUTTON SWITCH
3 PST, 16A, 250VAC
Fits: Warmer module
Model(s) This Part Fits: 7810 (Radiant Warmer), 7820 (Radiant Warmer), 7830 (Radiant Warmer), 7840 (Radiant Warmer), IICS (PM 78-1)
Part Description Updated: 8/24/2006","3 PST, 16A, 250VAC","http://www.rpiparts.com/pimages/AIS048.GIF",""
"LMP014","http://www.rpiparts.com/PartPage.asp?equip=17&oem=2&model=539&rpinum=LMP014","WBR82-1/17 807 41/0208-0516-300","LAMP","INFANT INCUBATORS & WARMERS
DRAGER • HILL-ROM • AIR SHIELDS
7830 (Radiant Warmer)","RPI Part #LMP014
OEM Part #WBR82-1/17 807 41/0208-0516-300
Industry Part #EXN
LAMP
12V, 50W
Base: 2-pin
Type: Halogen; EXN
Fits: Connector Assembly
Model(s) This Part Fits: 7810 (Radiant Warmer), 7820 (Radiant Warmer), 7830 (Radiant Warmer), 7840 (Radiant Warmer), IICS (PM 78-1), Infant Warmer Systems (IWS) 2001, Infant Warmer Systems (IWS) 3000, Infant Warmer Systems (IWS) 3050, Infant Warmer Systems (IWS) 3100, Infant Warmer Systems (IWS) 3150, Infant Warmer Systems (IWS) 3300 (Panda), Infant Warmer Systems (IWS) 3400, Infant Warmer Systems (IWS) 3500, Infant Warmer Systems (IWS) 4000, Infant Warmer Systems (IWS) 4300, Infant Warmer Systems (IWS) 4400, Infant Warmer Systems (IWS) 5000, LAMPS & BULBS
Catalog Page(s): 7-301, 7-304, 8-200
Part Description Updated: 2/21/2013","12V, 50W
Base: 2-pin
Type: Halogen; EXN","http://www.rpiparts.com/pimages/LMP014.GIF",""
"RPC619","http://www.rpiparts.com/PartPage.asp?equip=17&oem=2&model=539&rpinum=RPC619","0203-1980-300 / 68 209 48 / MU06944 / 4110","REFLECTIVE PROBE COVER","INFANT INCUBATORS & WARMERS
DRAGER • HILL-ROM • AIR SHIELDS
7830 (Radiant Warmer)","RPI Part #RPC619
OEM Part #0203-1980-300 / 68 209 48 / MU06944 / 4110
REFLECTIVE PROBE COVER
100 per package
Single use only
Metalized Mylar with PSA backing
Latex free
SDS Sheet Available See Notes Below
For a complete listing of related parts, click this link. (Adobe PDF)
Fits: Skin Temperature Probe
Model(s) This Part Fits: 190, 190A, 7810 (Radiant Warmer), 7820 (Radiant Warmer), 7830 (Radiant Warmer), 7840 (Radiant Warmer), C-86, Care Plus Series 1000/2000, Care Plus Series 3000/4000, General Care (GC), Giraffe® Incubator, Giraffe® Omnibed®, ICS, IICS (PM 78-1), Infant Care (IC), Infant Warmer Systems (IWS) 2001, Infant Warmer Systems (IWS) 3000, Infant Warmer Systems (IWS) 3050, Infant Warmer Systems (IWS) 3100, Infant Warmer Systems (IWS) 3150, Infant Warmer Systems (IWS) 3300 (Panda), Infant Warmer Systems (IWS) 3400, Infant Warmer Systems (IWS) 3500, Infant Warmer Systems (IWS) 4000, Infant Warmer Systems (IWS) 4300, Infant Warmer Systems (IWS) 4400, Infant Warmer Systems (IWS) 5000, Isolette C-100, Isolette C-100 QT, Isolette C-400 QT, Isolette C-450 QT, Isolette C-500 QT, Isolette C-500 QT (Model XL), Isolette C2000, Resuscitaire (RW82-1), Stabilet™ 1250, Stabilet™ 1500, Stabilet™ 200, Stabilet™ 2000A, Stabilet™ 2000B, Stabilet™ 2000C, Stabilet™ 2000D, Stabilet™ 300, Stabilet™ 3000A, Stabilet™ 3000B, Versalet7700
Catalog Page(s): 7-201, 7-203, 7-206, 7-210, 7-212, 7-300, 7-301, 7-304, 7-810, 7-820, 7-830, 7-840
Part Description Updated: 9/21/2015","100 per package
Single use only
Metalized Mylar with PSA backing
Latex free
SDS Sheet Available See Notes Below
For a complete listing of related parts, click this link. (Adobe PDF)","http://www.rpiparts.com/pimages/RPC619.GIF","Notes: Please see the Safety Data Sheet for this part. (Adobe PDF)"
"AIA055","http://www.rpiparts.com/PartPage.asp?equip=17&oem=2&model=540&rpinum=AIA055","7893182/MU10688","HEATER SOCKET ASSEMBLY","INFANT INCUBATORS & WARMERS
DRAGER • HILL-ROM • AIR SHIELDS
7840 (Radiant Warmer)","RPI Part #AIA055
OEM Part #7893182/MU10688
HEATER SOCKET ASSEMBLY
Ceramic socket
~5-1/2"" lg. wire
Fits: Heater/Reflector Assembly
Model(s) This Part Fits: 7810 (Radiant Warmer), 7820 (Radiant Warmer), 7830 (Radiant Warmer), 7840 (Radiant Warmer), IICS (PM 78-1)
Catalog Page(s): 7-301
Part Description Updated: 10/1/2014","Ceramic socket
~5-1/2"" lg. wire","http://www.rpiparts.com/pimages/AIA055.GIF",""
"AIH040","http://www.rpiparts.com/PartPage.asp?equip=17&oem=2&model=540&rpinum=AIH040","78 263 00/78 263 10/MU09712/AIH040","HEATING ELEMENT - 120V","INFANT INCUBATORS & WARMERS
DRAGER • HILL-ROM • AIR SHIELDS
7840 (Radiant Warmer)","RPI Part #AIH040
OEM Part #78 263 00/78 263 10/MU09712/AIH040
HEATING ELEMENT - 120V
~15"" lg.
600W, 120VAC, ~24ohms
220/240VAC Heating Element to fit IICS is also available. See RPI Part #AIH094
Fits: Heater socket assembly
Model(s) This Part Fits: 7810 (Radiant Warmer), 7820 (Radiant Warmer), 7830 (Radiant Warmer), 7840 (Radiant Warmer), IICS (PM 78-1)
Catalog Page(s): 7-301
Part Description Updated: 2/21/2013","~15"" lg.
600W, 120VAC, ~24ohms
220/240VAC Heating Element to fit IICS is also available. See RPI Part #AIH094","http://www.rpiparts.com/pimages/AIH040.GIF",""
"AIH094","http://www.rpiparts.com/PartPage.asp?equip=17&oem=2&model=540&rpinum=AIH094","MU09713 / 78 263 01 / 78 263 11","HEATING ELEMENT - 220/240V","INFANT INCUBATORS & WARMERS
DRAGER • HILL-ROM • AIR SHIELDS
7840 (Radiant Warmer)","RPI Part #AIH094
OEM Part #MU09713 / 78 263 01 / 78 263 11
HEATING ELEMENT - 220/240V
600W; 240VAC; ~96Ω
~15"" lg.
Fits: Heater Socket Assembly
Model(s) This Part Fits: 7810 (Radiant Warmer), 7820 (Radiant Warmer), 7830 (Radiant Warmer), 7840 (Radiant Warmer), IICS (PM 78-1)
Catalog Page(s): 7-301
Part Description Updated: 8/29/2012","600W; 240VAC; ~96Ω
~15"" lg.","http://www.rpiparts.com/pimages/AIH094.GIF",""
"AIP064","http://www.rpiparts.com/PartPage.asp?equip=17&oem=2&model=540&rpinum=AIP064","68 209 70 / MU06951","SKIN TEMPERATURE PROBE (Reusable)","INFANT INCUBATORS & WARMERS
DRAGER • HILL-ROM • AIR SHIELDS
7840 (Radiant Warmer)","RPI Part #AIP064
OEM Part #68 209 70 / MU06951
SKIN TEMPERATURE PROBE (Reusable)
Reusable Style
3 pin connector
See Notes below
For a complete listing of related parts, click this link. (Adobe PDF)
Fits: Controller
Model(s) This Part Fits: 7810 (Radiant Warmer), 7820 (Radiant Warmer), 7830 (Radiant Warmer), 7840 (Radiant Warmer), IICS (PM 78-1), Isolette C-100, Isolette C-100 QT, Isolette C-450 QT, Isolette C-550 QT
Catalog Page(s): 7-203, 7-301
Part Description Updated: 6/26/2013","Reusable Style
3 pin connector
See Notes below
For a complete listing of related parts, click this link. (Adobe PDF)","http://www.rpiparts.com/pimages/AIP064.GIF","Notes:
Also Available:
Skin Temperature Probe (Disposable) (RPI Part #AIP080 - 10 count)
Skin Temperature Probe (Disposable) - case (RPI Part #AIP101 - 100 count)
Reflective Probe Cover (RPI Part #RPC619)"
"AIP080","http://www.rpiparts.com/PartPage.asp?equip=17&oem=2&model=540&rpinum=AIP080","68 209 20 / MU06933","SKIN TEMPERATURE PROBE (Disposable)","INFANT INCUBATORS & WARMERS
DRAGER • HILL-ROM • AIR SHIELDS
7840 (Radiant Warmer)","RPI Part #AIP080
OEM Part #68 209 20 / MU06933
SKIN TEMPERATURE PROBE (Disposable)
Single use only
3 pin din connector
Includes: (10) probes and (10 pieces) Reflective Probe Cover (RPI Part #RPC619)
See Notes below
For a complete listing of related parts, click this link. (Adobe PDF)
Fits: Controller
Model(s) This Part Fits: 7810 (Radiant Warmer), 7820 (Radiant Warmer), 7830 (Radiant Warmer), 7840 (Radiant Warmer), IICS (PM 78-1), Isolette C-100, Isolette C-100 QT, Isolette C-450 QT, Isolette C-550 QT
Catalog Page(s): 7-203, 7-301
Part Description Updated: 6/26/2013","Single use only
3 pin din connector
Includes: (10) probes and (10 pieces) Reflective Probe Cover (RPI Part #RPC619)
See Notes below
For a complete listing of related parts, click this link. (Adobe PDF)","http://www.rpiparts.com/pimages/AIP080.GIF","Notes:
Also Available:
Skin Temperature Probe (Disposable) - case (RPI Part #AIP101 - 100 count)
Skin Temperature Probe - Reusable (RPI Part #AIP064)
Reflective Probe Cover (RPI Part #RPC619)"
"AIP101","http://www.rpiparts.com/PartPage.asp?equip=17&oem=2&model=540&rpinum=AIP101","68 209 30 / MU06935","SKIN TEMPERATURE PROBE (Disposable) - Case","INFANT INCUBATORS & WARMERS
DRAGER • HILL-ROM • AIR SHIELDS
7840 (Radiant Warmer)","RPI Part #AIP101
OEM Part #68 209 30 / MU06935
SKIN TEMPERATURE PROBE (Disposable) - Case
Includes: Case of 10 packages of (RPI Part #AIP080) (100) probes and (100 pieces) Reflective Probe Cover (RPI Part #RPC619)
Single use only
3 pin din connector
See Notes below
For a complete listing of related parts, click this link. (Adobe PDF)
Fits: Controller
Model(s) This Part Fits: 7810 (Radiant Warmer), 7820 (Radiant Warmer), 7830 (Radiant Warmer), 7840 (Radiant Warmer), IICS (PM 78-1), Isolette C-100, Isolette C-100 QT, Isolette C-450 QT, Isolette C-550 QT
Catalog Page(s): 7-202, 7-301
Part Description Updated: 5/24/2016","Includes: Case of 10 packages of (RPI Part #AIP080) (100) probes and (100 pieces) Reflective Probe Cover (RPI Part #RPC619)
Single use only
3 pin din connector
See Notes below
For a complete listing of related parts, click this link. (Adobe PDF)","http://www.rpiparts.com/pimages/AIP101.GIF","Notes:
Also Available:
Skin Temperature Probe (Disposable) (RPI Part #AIP080 - 10 count)
Skin Temperature Probe - Reusable (RPI Part #AIP064)
Reflective Probe Cover (RPI Part #RPC619)"
"AIR013","http://www.rpiparts.com/PartPage.asp?equip=17&oem=2&model=540&rpinum=AIR013","17 652 78/68 903 83/68 903 84/MU08571/MU08572/MU8571","RELAY","INFANT INCUBATORS & WARMERS
DRAGER • HILL-ROM • AIR SHIELDS
7840 (Radiant Warmer)","RPI Part #AIR013
OEM Part #17 652 78/68 903 83/68 903 84/MU08571/MU08572/MU8571
RELAY
Contacts: 10A @ 24-280 VDC
Input: 3-32 VDC
Size: ~2.25""L X 1.75""W X .78""H
Fits: Controller
Model(s) This Part Fits: 7810 (Radiant Warmer), 7820 (Radiant Warmer), 7830 (Radiant Warmer), 7840 (Radiant Warmer), IICS (PM 78-1), Isolette C-100, Isolette C-100 QT, Isolette C-200, Isolette C-200 QT
Catalog Page(s): 7-204, 7-301
Part Description Updated: 8/21/2014","Contacts: 10A @ 24-280 VDC
Input: 3-32 VDC
Size: ~2.25""L X 1.75""W X .78""H","http://www.rpiparts.com/pimages/AIR013.GIF",""
"AIS047","http://www.rpiparts.com/PartPage.asp?equip=17&oem=2&model=540&rpinum=AIS047","17 682 63 /MU03291","ROCKER SWITCH","INFANT INCUBATORS & WARMERS
DRAGER • HILL-ROM • AIR SHIELDS
7840 (Radiant Warmer)","RPI Part #AIS047
OEM Part #17 682 63 /MU03291
ROCKER SWITCH
DPST
22A @ 125VAC; 16A @ 250VAC
.250"" TABS
Color: Black
Fits: Basic Assembly (C300) and Warmer Module (IICS)
Model(s) This Part Fits: 7810 (Radiant Warmer), 7820 (Radiant Warmer), 7830 (Radiant Warmer), 7840 (Radiant Warmer), IICS (PM 78-1), Isolette C-300
Catalog Page(s): 7-203, 7-301
Part Description Updated: 8/21/2014","DPST
22A @ 125VAC; 16A @ 250VAC
.250"" TABS
Color: Black","http://www.rpiparts.com/pimages/AIS047.GIF",""
"AIS048","http://www.rpiparts.com/PartPage.asp?equip=17&oem=2&model=540&rpinum=AIS048","78 932 00","NO LONGER AVAILABLE","INFANT INCUBATORS & WARMERS
DRAGER • HILL-ROM • AIR SHIELDS
7840 (Radiant Warmer)","RPI Part #AIS048
OEM Part #78 932 00
PUSH-BUTTON SWITCH
3 PST, 16A, 250VAC
Fits: Warmer module
Model(s) This Part Fits: 7810 (Radiant Warmer), 7820 (Radiant Warmer), 7830 (Radiant Warmer), 7840 (Radiant Warmer), IICS (PM 78-1)
Part Description Updated: 8/24/2006","3 PST, 16A, 250VAC","http://www.rpiparts.com/pimages/AIS048.GIF",""
"LMP014","http://www.rpiparts.com/PartPage.asp?equip=17&oem=2&model=540&rpinum=LMP014","WBR82-1/17 807 41/0208-0516-300","LAMP","INFANT INCUBATORS & WARMERS
DRAGER • HILL-ROM • AIR SHIELDS
7840 (Radiant Warmer)","RPI Part #LMP014
OEM Part #WBR82-1/17 807 41/0208-0516-300
Industry Part #EXN
LAMP
12V, 50W
Base: 2-pin
Type: Halogen; EXN
Fits: Connector Assembly
Model(s) This Part Fits: 7810 (Radiant Warmer), 7820 (Radiant Warmer), 7830 (Radiant Warmer), 7840 (Radiant Warmer), IICS (PM 78-1), Infant Warmer Systems (IWS) 2001, Infant Warmer Systems (IWS) 3000, Infant Warmer Systems (IWS) 3050, Infant Warmer Systems (IWS) 3100, Infant Warmer Systems (IWS) 3150, Infant Warmer Systems (IWS) 3300 (Panda), Infant Warmer Systems (IWS) 3400, Infant Warmer Systems (IWS) 3500, Infant Warmer Systems (IWS) 4000, Infant Warmer Systems (IWS) 4300, Infant Warmer Systems (IWS) 4400, Infant Warmer Systems (IWS) 5000, LAMPS & BULBS
Catalog Page(s): 7-301, 7-304, 8-200
Part Description Updated: 2/21/2013","12V, 50W
Base: 2-pin
Type: Halogen; EXN","http://www.rpiparts.com/pimages/LMP014.GIF",""
"RPC619","http://www.rpiparts.com/PartPage.asp?equip=17&oem=2&model=540&rpinum=RPC619","0203-1980-300 / 68 209 48 / MU06944 / 4110","REFLECTIVE PROBE COVER","INFANT INCUBATORS & WARMERS
DRAGER • HILL-ROM • AIR SHIELDS
7840 (Radiant Warmer)","RPI Part #RPC619
OEM Part #0203-1980-300 / 68 209 48 / MU06944 / 4110
REFLECTIVE PROBE COVER
100 per package
Single use only
Metalized Mylar with PSA backing
Latex free
SDS Sheet Available See Notes Below
For a complete listing of related parts, click this link. (Adobe PDF)
Fits: Skin Temperature Probe
Model(s) This Part Fits: 190, 190A, 7810 (Radiant Warmer), 7820 (Radiant Warmer), 7830 (Radiant Warmer), 7840 (Radiant Warmer), C-86, Care Plus Series 1000/2000, Care Plus Series 3000/4000, General Care (GC), Giraffe® Incubator, Giraffe® Omnibed®, ICS, IICS (PM 78-1), Infant Care (IC), Infant Warmer Systems (IWS) 2001, Infant Warmer Systems (IWS) 3000, Infant Warmer Systems (IWS) 3050, Infant Warmer Systems (IWS) 3100, Infant Warmer Systems (IWS) 3150, Infant Warmer Systems (IWS) 3300 (Panda), Infant Warmer Systems (IWS) 3400, Infant Warmer Systems (IWS) 3500, Infant Warmer Systems (IWS) 4000, Infant Warmer Systems (IWS) 4300, Infant Warmer Systems (IWS) 4400, Infant Warmer Systems (IWS) 5000, Isolette C-100, Isolette C-100 QT, Isolette C-400 QT, Isolette C-450 QT, Isolette C-500 QT, Isolette C-500 QT (Model XL), Isolette C2000, Resuscitaire (RW82-1), Stabilet™ 1250, Stabilet™ 1500, Stabilet™ 200, Stabilet™ 2000A, Stabilet™ 2000B, Stabilet™ 2000C, Stabilet™ 2000D, Stabilet™ 300, Stabilet™ 3000A, Stabilet™ 3000B, Versalet7700
Catalog Page(s): 7-201, 7-203, 7-206, 7-210, 7-212, 7-300, 7-301, 7-304, 7-810, 7-820, 7-830, 7-840
Part Description Updated: 9/21/2015","100 per package
Single use only
Metalized Mylar with PSA backing
Latex free
SDS Sheet Available See Notes Below
For a complete listing of related parts, click this link. (Adobe PDF)","http://www.rpiparts.com/pimages/RPC619.GIF","Notes: Please see the Safety Data Sheet for this part. (Adobe PDF)"
"AIC035","http://www.rpiparts.com/PartPage.asp?equip=17&oem=2&model=2&rpinum=AIC035","93-90-330 / 17 802 60","LENS CAP (RED)","INFANT INCUBATORS & WARMERS
DRAGER • HILL-ROM • AIR SHIELDS
C-86","RPI Part #AIC035
OEM Part #93-90-330 / 17 802 60
LENS CAP (RED)
5/8"" OD
9/16-27 Thread
Fits: Light socket / Conventional Power Unit Panel
Model(s) This Part Fits: 660, C-86, Mark III
Catalog Page(s): 4-900, 7-200
Part Description Updated: 12/29/2011","5/8"" OD
9/16-27 Thread","http://www.rpiparts.com/pimages/AIC035.GIF","Notes:
Also Available:
LIGHT SOCKET (RPI Part #AIS034)
LIGHT BULB (RPI Part #AMB028)
LENS CAP (WHITE) (RPI Part #AIC036)
LENS CAP (AMBER) (RPI Part #AIC037)"
"AIC036","http://www.rpiparts.com/PartPage.asp?equip=17&oem=2&model=2&rpinum=AIC036","17 804 00 / 93-90-329","LENS CAP (WHITE)","INFANT INCUBATORS & WARMERS
DRAGER • HILL-ROM • AIR SHIELDS
C-86","RPI Part #AIC036
OEM Part #17 804 00 / 93-90-329
LENS CAP (WHITE)
5/8"" OD
9/16-27 Thread
Fits: Conventional Power Unit Panel / Light socket
Model(s) This Part Fits: 660, C-86, Mark III
Catalog Page(s): 4-900, 7-200
Part Description Updated: 12/29/2011","5/8"" OD
9/16-27 Thread","http://www.rpiparts.com/pimages/AIC036.GIF","Notes:
Also Available:
LIGHT SOCKET (RPI Part #AIS034)
LIGHT BULB (RPI Part #AMB028)
LENS CAP (RED) (RPI Part #AIC035)
LENS CAP (AMBER) (RPI Part #AIC037)"
"AIC037","http://www.rpiparts.com/PartPage.asp?equip=17&oem=2&model=2&rpinum=AIC037","17 802 30","LENS CAP (AMBER)","INFANT INCUBATORS & WARMERS
DRAGER • HILL-ROM • AIR SHIELDS
C-86","RPI Part #AIC037
OEM Part #17 802 30
LENS CAP (AMBER)
5/8"" OD
9/16-27 Thread
Fits: Light Socket
Model(s) This Part Fits: C-86
Catalog Page(s): 7-200
Part Description Updated: 12/29/2011","5/8"" OD
9/16-27 Thread","http://www.rpiparts.com/pimages/AIC037.GIF","Notes:
Also Available:
LIGHT SOCKET (RPI Part #AIS034)
LIGHT BULB (RPI Part #AMB028)
LENS CAP (RED) (RPI Part #AIC035)
LENS CAP (WHITE) (RPI Part #AIC036)"
